"","PCONS"
"1955:03",2695.715000
"1955:04",2742.251000
"1956:01",2763.145000
"1956:02",2765.987000
"1956:03",2773.052000
"1956:04",2796.366000
"1957:01",2802.941000
"1957:02",2811.428000
"1957:03",2831.997000
"1957:04",2835.813000
"1958:01",2815.352000
"1958:02",2842.514000
"1958:03",2877.743000
"1958:04",2893.329000
"1959:01",2920.137000
"1959:02",2943.966000
"1959:03",2964.184000
"1959:04",2982.063000
"1960:01",2995.546000
"1960:02",3021.059000
"1960:03",3005.781000
"1960:04",3013.663000
"1961:01",3029.325000
"1961:02",3065.662000
"1961:03",3056.436000
"1961:04",3091.102000
"1962:01",3107.820000
"1962:02",3122.226000
"1962:03",3137.166000
"1962:04",3156.786000
"1963:01",3165.697000
"1963:02",3168.965000
"1963:03",3201.794000
"1963:04",3214.670000
"1964:01",3259.372000
"1964:02",3301.448000
"1964:03",3344.232000
"1964:04",3356.997000
"1965:01",3377.995000
"1965:02",3408.866000
"1965:03",3448.370000
"1965:04",3517.422000
"1966:01",3531.540000
"1966:02",3557.599000
"1966:03",3573.105000
"1966:04",3573.852000
"1967:01",3598.191000
"1967:02",3617.925000
"1967:03",3629.514000
"1967:04",3640.795000
"1968:01",3681.047000
"1968:02",3713.275000
"1968:03",3751.733000
"1968:04",3759.448000
"1969:01",3783.167000
"1969:02",3798.275000
"1969:03",3811.383000
"1969:04",3835.286000
"1970:01",3857.923000
"1970:02",3857.016000
"1970:03",3878.889000
"1970:04",3884.838000
"1971:01",3892.117000
"1971:02",3899.289000
"1971:03",3893.700000
"1971:04",3909.649000
"1972:01",3941.196000
"1972:02",3984.131000
"1972:03",4013.071000
"1972:04",4070.890000
"1973:01",4079.640000
"1973:02",4067.962000
"1973:03",4077.212000
"1973:04",4058.163000
"1974:01",4006.466000
"1974:02",4012.454000
"1974:03",4017.778000
"1974:04",4002.314000
"1975:01",4009.214000
"1975:02",4055.390000
"1975:03",4052.738000
"1975:04",4062.133000
"1976:01",4112.216000
"1976:02",4126.797000
"1976:03",4155.644000
"1976:04",4199.403000
"1977:01",4223.460000
"1977:02",4207.957000
"1977:03",4228.612000
"1977:04",4265.445000
"1978:01",4291.774000
"1978:02",4319.716000
"1978:03",4330.350000
"1978:04",4354.301000
"1979:01",4369.038000
"1979:02",4358.602000
"1979:03",4355.850000
"1979:04",4381.521000
"1980:01",4364.919000
"1980:02",4317.165000
"1980:03",4326.408000
"1980:04",4343.507000
"1981:01",4322.452000
"1981:02",4331.067000
"1981:03",4321.189000
"1981:04",4315.241000
"1982:01",4309.813000
"1982:02",4314.892000
"1982:03",4319.234000
"1982:04",4345.067000
"1983:01",4366.521000
"1983:02",4411.119000
"1983:03",4437.487000
"1983:04",4458.835000
"1984:01",4473.495000
